"Epoch","Iteration","Loss","Success"
"0","0","0.1091","0.1562"
"0","1","0.1116","0.1367"
"0","2","0.1167","0.17190000000000003"
"0","3","0.1178","0.1855"
"0","4","0.1335","0.25980000000000003"
"0","5","0.1304","0.3066"
"0","6","0.1268","0.38280000000000003"
"0","7","0.1207","0.4043"
"0","8","0.1237","0.4824"
"0","9","0.1212","0.4668"
"0","10","0.1312","0.5078"
"0","11","0.1207","0.5195000000000001"
"0","12","0.1196","0.5468999999999999"
"0","13","0.119","0.5136999999999999"
"0","14","0.1317","0.5645"
"0","15","0.1194","0.5859000000000001"
"0","16","0.1204","0.6093999999999999"
"0","17","0.1187","0.6113000000000001"
"0","18","0.1176","0.4961"
"0","19","0.1269","0.6406000000000001"
"0","20","0.1136","0.5664"
"0","21","0.118","0.6133"
"0","22","0.1156","0.6738"
"0","23","0.1068","0.7304999999999999"
"0","24","0.1073","0.6718999999999999"
"0","25","0.102","0.7051000000000001"
"0","26","0.1068","0.7206999999999999"
"0","27","0.1028","0.7598"
"0","28","0.1021","0.7617"
"0","29","0.1001","0.7129000000000001"
"0","30","0.1022","0.7441"
"0","31","0.0992","0.752"
"0","32","0.1016","0.6914"
"0","33","0.1009","0.6659999999999999"
"0","34","0.1063","0.6914"
"0","35","0.0999","0.6953"
"0","36","0.1019","0.7695000000000001"
"0","37","0.0988","0.752"
"0","38","0.0971","0.7852"
"0","39","0.0967","0.7734000000000001"
"0","40","0.0951","0.75"
"0","41","0.0962","0.8008"
"0","42","0.0939","0.7441"
"0","43","0.0966","0.7773"
"0","44","0.0908","0.7909999999999999"
"0","45","0.089","0.7929999999999999"
"0","46","0.0864","0.8184"
"0","47","0.0903","0.8047"
"0","48","0.0915","0.8242"
"0","49","0.0872","0.8164"
"0","50","0.0888","0.8066"
"0","51","0.0912","0.7968999999999999"
"0","52","0.0889","0.8047"
"0","53","0.0895","0.8066"
"0","54","0.0911","0.8086"
"0","55","0.0921","0.7852"
"0","56","0.0869","0.7890999999999999"
"0","57","0.1031","0.8105"
"0","58","0.0886","0.8086"
"0","59","0.0889","0.8184"
"0","60","0.0889","0.8066"
"0","61","0.0868","0.8398"
"0","62","0.0845","0.8008"
"0","63","0.0865","0.8359000000000001"
"0","64","0.0868","0.8340000000000001"
"0","65","0.0906","0.7831999999999999"
"0","66","0.0917","0.8105"
"0","67","0.0888","0.8203"
"0","68","0.0866","0.8359000000000001"
"0","69","0.0895","0.8203"
"0","70","0.0895","0.8359000000000001"
"0","71","0.0898","0.8477"
"0","72","0.089","0.7968999999999999"
"0","73","0.09","0.8203"
"0","74","0.089","0.8320000000000001"
"0","75","0.0855","0.8242"
"0","76","0.0873","0.8027"
"0","77","0.0904","0.8340000000000001"
"0","78","0.0859","0.8262"
"0","79","0.085","0.8105"
"0","80","0.0851","0.8320000000000001"
"0","81","0.0851","0.8086"
"0","82","0.0882","0.8281000000000001"
"0","83","0.0887","0.8105"
"0","84","0.0833","0.8456999999999999"
"0","85","0.0857","0.8320000000000001"
"0","86","0.0874","0.8418000000000001"
"0","87","0.0859","0.8047"
"0","88","0.0907","0.8281000000000001"
"0","89","0.0866","0.8477"
"0","90","0.0859","0.8418000000000001"
"0","91","0.0841","0.8340000000000001"
"0","92","0.086","0.8203"
"0","93","0.0851","0.8554999999999999"
"0","94","0.0845","0.8418000000000001"
"0","95","0.0875","0.8359000000000001"
"0","96","0.0861","0.8379000000000001"
"0","97","0.086","0.8242"
"0","98","0.0841","0.8418000000000001"
"0","99","0.0892","0.8438"
"0","100","0.0923","0.8145"
"0","101","0.0932","0.8398"
"0","102","0.0869","0.8613"
"0","103","0.0875","0.8223"
"0","104","0.0875","0.8554999999999999"
"0","105","0.0888","0.8359000000000001"
"0","106","0.084","0.8438"
"0","107","0.081","0.8652"
"0","108","0.083","0.8262"
"0","109","0.0859","0.7929999999999999"
"0","110","0.0896","0.7988"
"0","111","0.092","0.8554999999999999"
"0","112","0.0861","0.8340000000000001"
"0","113","0.0883","0.8495999999999999"
"0","114","0.0889","0.8477"
"0","115","0.0882","0.8359000000000001"
"0","116","0.0887","0.8418000000000001"
"1","117","0.0877","0.8456999999999999"
"1","118","0.0846","0.8495999999999999"
"1","119","0.0864","0.8164"
"1","120","0.0859","0.8398"
"1","121","0.0827","0.8534999999999999"
"1","122","0.0838","0.875"
"1","123","0.0847","0.8613"
"1","124","0.0819","0.8554999999999999"
"1","125","0.0875","0.8262"
"1","126","0.0882","0.8495999999999999"
"1","127","0.0887","0.8359000000000001"
"1","128","0.0925","0.8184"
"1","129","0.0886","0.8613"
"1","130","0.0857","0.8418000000000001"
"1","131","0.0847","0.8534999999999999"
"1","132","0.0867","0.8105"
"1","133","0.0899","0.8438"
"1","134","0.0853","0.8340000000000001"
"1","135","0.0838","0.8495999999999999"
"1","136","0.0884","0.8652"
"1","137","0.0844","0.8164"
"1","138","0.0855","0.8573999999999999"
"1","139","0.0843","0.8672"
"1","140","0.0865","0.8086"
"1","141","0.0877","0.8398"
"1","142","0.085","0.8047"
"1","143","0.0885","0.8418000000000001"
