"Epoch","Iteration","Loss","Success"
"0","0","581.7388","0.3398"
"0","1","429.5027","0.5547"
"0","2","342.0364","0.6562"
"0","3","293.5172","0.6211"
"0","4","286.5912","0.6718999999999999"
"0","5","276.267","0.6367"
"0","6","248.7272","0.6758"
"0","7","245.9973","0.6445000000000001"
"0","8","244.3681","0.6738"
"0","9","244.7862","0.6406000000000001"
"0","10","214.0689","0.6914"
"0","11","213.8784","0.6797"
"0","12","223.1768","0.627"
"0","13","209.6255","0.6543000000000001"
"0","14","221.4905","0.6698999999999999"
"0","15","206.1472","0.6992"
"0","16","209.0979","0.6659999999999999"
"0","17","198.399","0.6953"
"0","18","189.9873","0.6620999999999999"
"0","19","221.9444","0.6895"
"0","20","198.503","0.6640999999999999"
"0","21","189.216","0.6777"
"0","22","202.6429","0.6523"
"0","23","188.2437","0.7109000000000001"
"0","24","199.4487","0.6523"
"0","25","229.8031","0.6562"
"0","26","212.9172","0.6777"
"0","27","195.966","0.6718999999999999"
"0","28","212.4064","0.6698999999999999"
"0","29","190.5222","0.6758"
"0","30","213.4744","0.6620999999999999"
"0","31","210.4761","0.6758"
"0","32","194.7515","0.6698999999999999"
"0","33","206.445","0.6992"
"0","34","221.9037","0.6758"
"0","35","197.7308","0.6777"
"0","36","168.872","0.6914"
"0","37","186.1076","0.6679999999999999"
"0","38","194.0866","0.7109000000000001"
"0","39","220.8916","0.6484000000000001"
"0","40","196.0547","0.6992"
"0","41","178.8311","0.6562"
"0","42","213.5365","0.6738"
"0","43","182.9763","0.7090000000000001"
"0","44","197.8392","0.6934"
"0","45","173.9222","0.6953"
"0","46","193.5562","0.6953"
"0","47","178.1865","0.7188"
"0","48","173.4079","0.7206999999999999"
"0","49","186.9439","0.6973"
"0","50","206.9138","0.7265999999999999"
"0","51","230.256","0.6973"
"0","52","157.6098","0.7323999999999999"
"0","53","193.1354","0.6953"
"0","54","203.8364","0.7051000000000001"
"0","55","205.4354","0.7265999999999999"
"0","56","169.8467","0.7343999999999999"
"0","57","194.8328","0.7265999999999999"
"0","58","180.7519","0.748"
"0","59","191.6884","0.7383"
"0","60","202.506","0.7148"
"0","61","166.8721","0.7461"
"0","62","194.8968","0.7168000000000001"
"0","63","175.9257","0.7422"
"0","64","174.8481","0.7598"
"0","65","175.6007","0.7441"
"0","66","153.1858","0.7734000000000001"
"0","67","185.8021","0.7559"
"0","68","165.8735","0.7617"
"0","69","154.3944","0.752"
"0","70","138.3593","0.7852"
"0","71","140.2845","0.7852"
"0","72","150.9857","0.748"
"0","73","185.933","0.7284999999999999"
"0","74","176.6464","0.7461"
"0","75","186.6541","0.7559"
"0","76","157.1996","0.7598"
"0","77","189.5371","0.748"
"0","78","182.2448","0.7383"
"0","79","180.7983","0.752"
"0","80","167.3272","0.75"
"0","81","158.1529","0.7656000000000001"
"0","82","177.5715","0.7343999999999999"
"0","83","141.442","0.7793000000000001"
"0","84","160.2046","0.7656000000000001"
"0","85","177.3292","0.752"
"0","86","148.4732","0.7773"
"0","87","170.7358","0.7578"
"0","88","173.7228","0.7754000000000001"
"0","89","163.6449","0.7265999999999999"
"0","90","151.0009","0.7539"
"0","91","167.6498","0.7422"
"0","92","145.6952","0.7656000000000001"
"0","93","148.849","0.7929999999999999"
"0","94","186.3642","0.75"
"0","95","159.9733","0.7578"
"0","96","164.8198","0.7715000000000001"
"0","97","121.0719","0.8008"
"0","98","143.1292","0.8008"
"0","99","145.7189","0.7715000000000001"
"0","100","177.4681","0.7695000000000001"
"0","101","142.3161","0.7656000000000001"
"0","102","170.419","0.7656000000000001"
"0","103","160.785","0.7461"
"0","104","144.667","0.7617"
"0","105","176.4098","0.7383"
"0","106","140.9476","0.7948999999999999"
"0","107","140.9137","0.7988"
"0","108","174.5582","0.7637"
"0","109","147.0706","0.7852"
"0","110","144.1901","0.7676000000000001"
"0","111","144.342","0.7598"
"0","112","126.8514","0.7812"
"0","113","167.5368","0.748"
"0","114","142.4633","0.7812"
"0","115","157.294","0.7754000000000001"
"0","116","162.7733","0.7695000000000001"
"1","117","147.8294","0.7637"
"1","118","153.1647","0.7559"
"1","119","141.355","0.7715000000000001"
"1","120","135.8907","0.7870999999999999"
"1","121","142.2804","0.748"
"1","122","159.8362","0.7793000000000001"
"1","123","178.7854","0.6992"
"1","124","178.3577","0.7402"
"1","125","132.419","0.7598"
"1","126","148.8034","0.7441"
"1","127","132.6965","0.8105"
"1","128","136.5088","0.7890999999999999"
"1","129","134.1558","0.7598"
"1","130","146.2428","0.752"
"1","131","143.5235","0.7734000000000001"
"1","132","139.2853","0.75"
"1","133","139.0717","0.7695000000000001"
"1","134","121.6983","0.7441"
"1","135","123.0828","0.7793000000000001"
"1","136","154.6119","0.7831999999999999"
"1","137","134.1683","0.7968999999999999"
"1","138","129.2781","0.7734000000000001"
"1","139","104.9782","0.7968999999999999"
"1","140","156.6963","0.7168000000000001"
"1","141","146.6664","0.7929999999999999"
"1","142","119.521","0.7715000000000001"
"1","143","121.2046","0.7734000000000001"
"1","144","166.7594","0.7578"
"1","145","130.5619","0.7265999999999999"
"1","146","144.0048","0.75"
"1","147","152.23","0.7559"
"1","148","104.4616","0.7402"
"1","149","124.0188","0.7383"
"1","150","145.7302","0.7323999999999999"
"1","151","126.9925","0.7734000000000001"
"1","152","134.5672","0.7598"
"1","153","127.8828","0.7539"
"1","154","111.5822","0.7852"
"1","155","135.1165","0.7831999999999999"
"1","156","155.26","0.7598"
"1","157","129.6246","0.75"
"1","158","123.4288","0.7793000000000001"
"1","159","127.5764","0.7363"
"1","160","139.1915","0.7363"
"1","161","142.9563","0.7284999999999999"
"1","162","144.087","0.7265999999999999"
"1","163","134.9128","0.7363"
"1","164","130.0639","0.7715000000000001"
"1","165","124.0923","0.7637"
"1","166","170.9322","0.7012"
"1","167","151.2587","0.7363"
"1","168","138.7997","0.7090000000000001"
"1","169","120.5589","0.7343999999999999"
"1","170","133.7155","0.6934"
"1","171","118.4528","0.748"
"1","172","146.8988","0.7402"
"1","173","142.8464","0.7129000000000001"
"1","174","161.4263","0.6738"
"1","175","135.8475","0.7304999999999999"
"1","176","127.6302","0.7188"
"1","177","143.6984","0.6777"
"1","178","118.7533","0.7245999999999999"
"1","179","116.2116","0.7265999999999999"
"1","180","122.9776","0.6620999999999999"
"1","181","115.5855","0.7188"
"1","182","148.1163","0.6777"
"1","183","129.7768","0.6718999999999999"
"1","184","122.5874","0.6738"
"1","185","129.1528","0.6698999999999999"
"1","186","136.8891","0.6953"
"1","187","129.6592","0.7109000000000001"
"1","188","120.7687","0.6992"
"1","189","126.3206","0.6718999999999999"
"1","190","114.1687","0.6914"
"1","191","127.3568","0.6718999999999999"
"1","192","115.3651","0.6523"
"1","193","136.7358","0.6659999999999999"
"1","194","130.176","0.6738"
"1","195","143.1551","0.6797"
"1","196","145.5554","0.6367"
"1","197","120.4585","0.6914"
"1","198","89.1499","0.7090000000000001"
"1","199","128.729","0.6875"
"1","200","128.6919","0.6816"
"1","201","124.6451","0.6914"
"1","202","128.8702","0.6816"
"1","203","113.4449","0.6777"
"1","204","108.7299","0.6777"
"1","205","116.9882","0.6543000000000001"
"1","206","111.0336","0.6465000000000001"
"1","207","108.388","0.6934"
"1","208","119.4395","0.6484000000000001"
"1","209","127.6797","0.6386999999999999"
"1","210","117.6231","0.6797"
"1","211","120.4131","0.7012"
"1","212","124.407","0.6816"
"1","213","128.7319","0.6659999999999999"
"1","214","132.9111","0.6543000000000001"
"1","215","133.3651","0.6386999999999999"
"1","216","120.8967","0.6973"
"1","217","110.428","0.6836"
"1","218","113.271","0.6659999999999999"
"1","219","128.5039","0.625"
"1","220","117.8521","0.6718999999999999"
"1","221","129.5215","0.7090000000000001"
"1","222","117.7103","0.6602"
"1","223","137.8435","0.6836"
"1","224","103.4294","0.7227"
"1","225","156.7116","0.7031000000000001"
"1","226","100.4922","0.7168000000000001"
"1","227","115.7792","0.6934"
"1","228","116.8922","0.7109000000000001"
"1","229","123.564","0.7051000000000001"
"1","230","112.3078","0.7363"
"1","231","114.9639","0.7304999999999999"
"1","232","111.1422","0.7343999999999999"
"1","233","114.2077","0.7539"
"2","234","115.8921","0.7422"
"2","235","102.1119","0.7422"
"2","236","116.0657","0.7323999999999999"
"2","237","122.118","0.7129000000000001"
"2","238","130.7596","0.7227"
"2","239","116.483","0.75"
"2","240","114.8718","0.7383"
"2","241","96.9153","0.7598"
"2","242","117.9505","0.7578"
"2","243","115.5129","0.7852"
"2","244","113.5897","0.7909999999999999"
"2","245","91.0702","0.8008"
"2","246","134.0022","0.7637"
"2","247","129.1035","0.752"
"2","248","118.8055","0.7461"
"2","249","124.7723","0.7676000000000001"
"2","250","112.542","0.7734000000000001"
"2","251","99.2913","0.7812"
"2","252","121.1589","0.752"
"2","253","134.4411","0.7578"
"2","254","118.1853","0.7402"
"2","255","132.6723","0.748"
"2","256","136.7624","0.7343999999999999"
"2","257","136.7772","0.7598"
"2","258","136.0605","0.7734000000000001"
"2","259","122.0516","0.7676000000000001"
"2","260","100.2047","0.7870999999999999"
"2","261","100.392","0.7637"
"2","262","106.9616","0.7343999999999999"
"2","263","123.7407","0.7245999999999999"
"2","264","114.1294","0.7656000000000001"
"2","265","121.8783","0.7383"
"2","266","117.7459","0.752"
"2","267","107.5965","0.7695000000000001"
"2","268","113.5096","0.7852"
"2","269","114.5474","0.7695000000000001"
"2","270","110.9066","0.7870999999999999"
"2","271","141.0876","0.752"
"2","272","106.7754","0.7890999999999999"
"2","273","113.2147","0.7598"
"2","274","118.2838","0.7539"
"2","275","109.5722","0.7637"
"2","276","143.366","0.7323999999999999"
"2","277","146.3575","0.7090000000000001"
"2","278","130.7103","0.752"
"2","279","130.6272","0.752"
"2","280","121.6053","0.7539"
"2","281","108.3295","0.7578"
"2","282","126.2197","0.7461"
"2","283","110.6164","0.7852"
"2","284","139.1444","0.7578"
"2","285","109.2815","0.7559"
"2","286","118.872","0.7773"
"2","287","91.1286","0.7988"
"2","288","110.7292","0.7637"
"2","289","116.9153","0.7773"
"2","290","154.2736","0.748"
"2","291","105.3067","0.8379000000000001"
"2","292","126.5695","0.7773"
"2","293","129.743","0.7617"
"2","294","142.6564","0.8047"
"2","295","124.232","0.8281000000000001"
"2","296","119.3167","0.7988"
"2","297","135.7956","0.7656000000000001"
"2","298","132.0436","0.7715000000000001"
"2","299","137.9507","0.8047"
"2","300","132.4322","0.7852"
"2","301","126.7602","0.7929999999999999"
"2","302","111.0995","0.8281000000000001"
"2","303","95.5282","0.8008"
"2","304","114.4593","0.8105"
"2","305","137.4009","0.7461"
"2","306","111.7947","0.7773"
"2","307","143.7573","0.7831999999999999"
