"Epoch","Iteration","Loss","Success"
"0","0","551.9994","0.27149999999999996"
"0","1","412.0614","0.48829999999999996"
"0","2","358.9297","0.6152000000000001"
"0","3","334.2766","0.7109000000000001"
"0","4","313.9788","0.7265999999999999"
"0","5","300.6126","0.7734000000000001"
"0","6","288.2823","0.7773"
"0","7","265.4679","0.7852"
"0","8","251.8962","0.8301000000000001"
"0","9","252.3218","0.8105"
"0","10","245.1407","0.8242"
"0","11","232.7434","0.8066"
"0","12","228.6934","0.8242"
"0","13","230.4676","0.8047"
"0","14","201.2894","0.8320000000000001"
"0","15","208.5535","0.8613"
"0","16","188.8799","0.8456999999999999"
"0","17","191.3807","0.8456999999999999"
"0","18","182.6478","0.8379000000000001"
"0","19","184.0743","0.8359000000000001"
"0","20","186.9993","0.8379000000000001"
"0","21","161.0788","0.8301000000000001"
"0","22","160.4996","0.8495999999999999"
"0","23","145.423","0.8359000000000001"
"0","24","154.9763","0.8633"
"0","25","149.0","0.8554999999999999"
"0","26","146.0","0.8809"
"0","27","142.4955","0.8711"
"0","28","161.4044","0.8515999999999999"
"0","29","157.5045","0.8379000000000001"
"0","30","155.0818","0.8593999999999999"
"0","31","128.4413","0.873"
"0","32","131.4655","0.8809"
"0","33","181.4986","0.8379000000000001"
"0","34","166.4942","0.8515999999999999"
"0","35","137.1865","0.8789"
"0","36","139.5766","0.873"
"0","37","176.5316","0.8613"
"0","38","182.067","0.8613"
"0","39","161.3096","0.8534999999999999"
"0","40","196.1834","0.8379000000000001"
"0","41","159.3738","0.8711"
"0","42","170.6417","0.8438"
"0","43","156.4449","0.8672"
"0","44","153.0368","0.875"
"0","45","166.397","0.8711"
"0","46","166.8606","0.8711"
"0","47","176.6","0.8672"
"0","48","163.6338","0.875"
"0","49","152.2892","0.9023"
"0","50","144.8176","0.873"
"0","51","220.238","0.8398"
"0","52","162.7497","0.9023"
"0","53","145.6551","0.877"
"0","54","143.0917","0.875"
"0","55","133.4846","0.8906000000000001"
"0","56","155.9137","0.877"
"0","57","133.769","0.873"
"0","58","136.0425","0.873"
"0","59","161.4838","0.8848"
"0","60","141.411","0.8867"
"0","61","145.2562","0.8945000000000001"
"0","62","206.0053","0.8613"
"0","63","117.2165","0.8906000000000001"
"0","64","163.0424","0.8672"
"0","65","124.9323","0.8984000000000001"
"0","66","156.2863","0.8633"
"0","67","147.1739","0.8534999999999999"
"0","68","173.8888","0.8672"
"0","69","131.8302","0.873"
"0","70","120.1674","0.8809"
"0","71","117.3357","0.8965000000000001"
"0","72","119.0168","0.8691"
"0","73","142.6093","0.8672"
"0","74","162.4655","0.8867"
"0","75","131.1052","0.8926000000000001"
"0","76","90.3649","0.9102"
"0","77","102.6986","0.8828"
"0","78","132.1818","0.875"
"0","79","122.7228","0.8887"
"0","80","116.0635","0.8789"
"0","81","114.1249","0.8691"
"0","82","124.0156","0.8809"
"0","83","98.1169","0.9102"
"0","84","122.8381","0.8789"
"0","85","95.9575","0.9062"
"0","86","94.8004","0.9179999999999999"
"0","87","120.4585","0.9081999999999999"
"0","88","113.7614","0.8809"
"0","89","111.664","0.8887"
"0","90","103.7793","0.8887"
"0","91","105.4182","0.8965000000000001"
"0","92","124.6752","0.8711"
"0","93","121.8896","0.8945000000000001"
"0","94","105.9463","0.9081999999999999"
"0","95","114.7529","0.8965000000000001"
"0","96","99.4282","0.9120999999999999"
"0","97","103.5947","0.877"
"0","98","136.5041","0.8926000000000001"
"0","99","100.7777","0.9120999999999999"
"0","100","97.9034","0.9198999999999999"
"0","101","133.7718","0.8711"
"0","102","127.2955","0.877"
"0","103","86.9835","0.9043000000000001"
"0","104","97.6011","0.9159999999999999"
"0","105","125.3269","0.8965000000000001"
"0","106","110.4176","0.877"
"0","107","96.8432","0.9023"
"0","108","96.1378","0.8887"
"0","109","85.784","0.9004000000000001"
"0","110","93.4345","0.9023"
"0","111","97.5359","0.9120999999999999"
"0","112","93.1177","0.8984000000000001"
"0","113","135.6275","0.9023"
"0","114","72.0582","0.9238"
"0","115","93.7009","0.9140999999999999"
"0","116","97.3424","0.9062"
"1","117","108.3442","0.9218999999999999"
"1","118","95.4974","0.9218999999999999"
"1","119","123.8592","0.9159999999999999"
"1","120","108.4689","0.9179999999999999"
"1","121","97.0812","0.9120999999999999"
"1","122","83.2219","0.9238"
"1","123","104.8136","0.8926000000000001"
"1","124","103.4609","0.9238"
"1","125","85.8247","0.9102"
"1","126","118.1896","0.8984000000000001"
"1","127","83.5722","0.9218999999999999"
"1","128","99.87","0.9120999999999999"
"1","129","90.9419","0.9062"
"1","130","103.2673","0.9043000000000001"
"1","131","107.2885","0.9023"
"1","132","80.4901","0.9198999999999999"
"1","133","123.6568","0.8828"
"1","134","76.6063","0.9336"
"1","135","111.1712","0.8945000000000001"
"1","136","84.3514","0.9023"
"1","137","104.7632","0.9120999999999999"
"1","138","73.1238","0.9218999999999999"
"1","139","81.5996","0.9258"
"1","140","139.0875","0.8984000000000001"
